word,zipf
advising,3.84
advisor,4.64
advisories,3.77
advisors,4.03
advisory,4.61
advocacy,4.21
advocate,4.12
advocated,3.31
advocates,3.92
advocating,3.36
adz,2.11
adze,2.17
adzuki,1.79
ae,4.33
aedes,2.47
aegis,3.36
aeneus,1.89
aeolian,2.4
aeon,3.18
aeons,2.19
aerate,1.95
aerated,2.47
aerating,1.86
aeration,2.91
aerator,2.44
aerators,2.26
aerial,4.05
aerialist,1.85
aerially,1.44
aerials,3.05
aerie,2.26
aero,3.7
aerobatic,2.54
aerobatics,2.36
aerobic,3.48
aerobically,1.81
aerobics,3.39
aerobraking,1.35
aerodrome,2.84
aerodromes,2.0
aerodynamic,3.04
aerodynamically,1.76
aerodynamics,2.88
aerodyne,1.67
aeroelastic,1.73
aerofoil,1.49
aerogel,2.16
aerogels,1.82
aerolite,2.04
aeromagnetic,1.96
aeromedical,2.11
aeronaut,1.98
aeronautic,2.15
aeronautical,3.22
aeronautics,3.41
aeronomy,2.0
aeroplane,2.92
aeroplanes,2.61
aerosol,3.55
aerosolized,2.0
aerosols,3.09
aerospace,4.06
aerostat,1.47
aesthete,1.69
aesthetes,1.34
aesthetic,3.72
aesthetical,1.65
aesthetically,2.88
aesthetician,1.74
aestheticians,1.81
aestheticism,1.68
aesthetics,3.51
aether,2.51
aetiology,2.44
afar,3.12
afars,1.45
afeard,1.42
afebrile,1.45
aff,3.5
affability,1.64
affable,2.42
affably,1.4
affair,3.97
affaire,2.43
affaires,2.99
affairs,4.8
affect,4.62
affectation,2.32
affectations,1.75
affected,4.62
affecting,4.16
affection,3.6
affectional,1.5
affectionate,3.08
affectionately,2.8
affections,3.0
affective,3.34
affectively,1.55
affectivity,1.45
affects,4.16
affenpinscher,2.06
afferent,2.62
afferents,2.19
affianced,1.85
affiant,2.09
affiche,2.61
affiches,2.3
afficionado,1.66
afficionados,1.55
affidavit,3.56
affidavits,2.96
affiliate,4.81
affiliated,4.26
affiliates,4.8
affiliating,1.81
